customer_key,segment,signup_year
1,Consumer,2025
2,Consumer,2021
3,Consumer,2023
4,Consumer,2022
5,Consumer,2021
6,Consumer,2021
7,Consumer,2025
8,Consumer,2025
9,Consumer,2020
10,Consumer,2022
11,Consumer,2019
12,Consumer,2021
13,Consumer,2025
14,Consumer,2023
15,Small Business,2022
16,Consumer,2024
17,Consumer,2022
18,Consumer,2022
19,Consumer,2019
20,Consumer,2019
21,Small Business,2022
22,Small Business,2019
23,Small Business,2019
24,Consumer,2021
25,Consumer,2022
26,Small Business,2024
27,Consumer,2025
28,Small Business,2023
29,Consumer,2025
30,Consumer,2021
31,Consumer,2023
32,Small Business,2019
33,Consumer,2019
34,Consumer,2023
35,Consumer,2021
36,Consumer,2022
37,Consumer,2025
38,Small Business,2024
39,Consumer,2021
40,Small Business,2023
41,Small Business,2025
42,Consumer,2020
43,Consumer,2022
44,Consumer,2024
45,Consumer,2023
46,Consumer,2022
47,Enterprise,2022
48,Enterprise,2023
49,Small Business,2022
50,Consumer,2021
51,Consumer,2025
52,Consumer,2024
53,Consumer,2023
54,Consumer,2020
55,Consumer,2022
56,Consumer,2020
57,Consumer,2020
58,Consumer,2020
59,Consumer,2020
60,Small Business,2024
61,Enterprise,2022
62,Consumer,2024
63,Small Business,2025
64,Enterprise,2020
65,Consumer,2020
66,Consumer,2020
67,Consumer,2019
68,Consumer,2019
69,Small Business,2023
70,Consumer,2023
71,Consumer,2021
72,Consumer,2022
73,Consumer,2020
74,Small Business,2023
75,Consumer,2023
76,Consumer,2023
77,Consumer,2022
78,Consumer,2024
79,Consumer,2019
80,Consumer,2021
81,Consumer,2019
82,Consumer,2024
83,Small Business,2019
84,Consumer,2022
85,Consumer,2020
86,Consumer,2023
87,Small Business,2021
88,Consumer,2022
89,Consumer,2025
90,Consumer,2025
91,Consumer,2021
92,Small Business,2021
93,Consumer,2021
94,Small Business,2023
95,Small Business,2025
96,Consumer,2023
97,Small Business,2022
98,Consumer,2025
99,Small Business,2020
100,Consumer,2019
101,Consumer,2019
102,Consumer,2023
103,Consumer,2025
104,Consumer,2020
105,Small Business,2024
106,Consumer,2025
107,Consumer,2025
108,Consumer,2024
109,Consumer,2021
110,Consumer,2023
111,Small Business,2022
112,Consumer,2022
113,Consumer,2023
114,Consumer,2023
115,Consumer,2024
116,Consumer,2022
117,Consumer,2023
118,Consumer,2021
119,Enterprise,2022
120,Consumer,2024
121,Consumer,2024
122,Small Business,2022
123,Small Business,2022
124,Small Business,2020
125,Enterprise,2021
126,Small Business,2023
127,Small Business,2019
128,Consumer,2019
129,Small Business,2023
130,Consumer,2024
131,Consumer,2025
132,Consumer,2022
133,Enterprise,2019
134,Enterprise,2023
135,Consumer,2021
136,Small Business,2020
137,Small Business,2023
138,Consumer,2024
139,Consumer,2019
140,Consumer,2024
141,Small Business,2023
142,Consumer,2024
143,Enterprise,2023
144,Consumer,2022
145,Enterprise,2021
146,Consumer,2023
147,Small Business,2020
148,Consumer,2022
149,Consumer,2024
150,Small Business,2020
151,Small Business,2019
152,Small Business,2019
153,Consumer,2022
154,Consumer,2021
155,Consumer,2023
